frame.number,frame.time,ip.src,ip.dst,tcp.srcport,tcp.dstport,_ws.col.protocol,frame.len
"2013","Feb  9, 2025 01:29:22.849079832 IST","172.20.0.2","91.189.91.83","43416","80","TCP","94"
"2014","Feb  9, 2025 01:29:22.849293940 IST","185.125.190.83","172.20.0.8","80","43284","TCP","1494"
"2015","Feb  9, 2025 01:29:22.849472995 IST","185.125.190.82","172.20.0.5","80","42272","TCP","2922"
"2016","Feb  9, 2025 01:29:22.849493511 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"2017","Feb  9, 2025 01:29:22.849511960 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"2018","Feb  9, 2025 01:29:22.849536028 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"2019","Feb  9, 2025 01:29:22.849540093 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"2020","Feb  9, 2025 01:29:22.849814346 IST","172.20.0.3","185.125.190.83","37384","80","TCP","94"
"2021","Feb  9, 2025 01:29:22.849937039 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"2022","Feb  9, 2025 01:29:22.849940871 IST","172.20.0.10","185.125.190.83","45774","80","TCP","94"
"2023","Feb  9, 2025 01:29:22.850157732 IST","172.20.0.7","185.125.190.82","33680","80","TCP","94"
"2024","Feb  9, 2025 01:29:22.850583049 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"2025","Feb  9, 2025 01:29:22.852696114 IST","91.189.91.83","172.20.0.2","80","43416","TCP","1494"
"2026","Feb  9, 2025 01:29:22.852811833 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"2027","Feb  9, 2025 01:29:22.853376678 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"2028","Feb  9, 2025 01:29:22.853392343 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"2029","Feb  9, 2025 01:29:22.853400822 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"2030","Feb  9, 2025 01:29:22.853460066 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"2031","Feb  9, 2025 01:29:22.853479083 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"2032","Feb  9, 2025 01:29:22.853520085 IST","185.125.190.82","172.20.0.7","80","33680","TCP","1494"
"2033","Feb  9, 2025 01:29:22.853564162 IST","185.125.190.82","172.20.0.7","80","33680","TCP","1494"
"2034","Feb  9, 2025 01:29:22.853690668 IST","185.125.190.83","172.20.0.8","80","43284","TCP","4350"
"2035","Feb  9, 2025 01:29:22.853814540 IST","172.20.0.2","91.189.91.83","43416","80","TCP","94"
"2036","Feb  9, 2025 01:29:22.853922539 IST","172.20.0.7","185.125.190.82","33680","80","TCP","94"
"2037","Feb  9, 2025 01:29:22.854095180 IST","91.189.91.83","172.20.0.4","80","42916","TCP","2922"
"2038","Feb  9, 2025 01:29:22.854138526 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"2039","Feb  9, 2025 01:29:22.854160904 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"2040","Feb  9, 2025 01:29:22.854166355 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"2041","Feb  9, 2025 01:29:22.854204859 IST","185.125.190.83","172.20.0.10","80","45774","TCP","2922"
"2042","Feb  9, 2025 01:29:22.854252123 IST","91.189.91.83","172.20.0.2","80","43416","TCP","1494"
"2043","Feb  9, 2025 01:29:22.854256912 IST","91.189.91.83","172.20.0.2","80","43416","TCP","1494"
"2044","Feb  9, 2025 01:29:22.854309903 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
"2045","Feb  9, 2025 01:29:22.854341242 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"2046","Feb  9, 2025 01:29:22.854363495 IST","185.125.190.83","172.20.0.8","80","43284","TCP","2922"
"2047","Feb  9, 2025 01:29:22.854374370 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"2048","Feb  9, 2025 01:29:22.854498713 IST","172.20.0.3","185.125.190.83","37384","80","TCP","94"
"2049","Feb  9, 2025 01:29:22.854508275 IST","172.20.0.9","91.189.91.83","45282","80","TCP","94"
"2050","Feb  9, 2025 01:29:22.854510120 IST","172.20.0.5","185.125.190.82","42272","80","TCP","94"
"2051","Feb  9, 2025 01:29:22.854533253 IST","91.189.91.83","172.20.0.9","80","45282","TCP","2922"
"2052","Feb  9, 2025 01:29:22.854837689 IST","185.125.190.83","172.20.0.8","80","43284","TCP","5778"
"2053","Feb  9, 2025 01:29:22.854843095 IST","172.20.0.8","185.125.190.83","43284","80","TCP","94"
"2054","Feb  9, 2025 01:29:22.854899867 IST","91.189.91.83","172.20.0.6","80","38854","TCP","2922"
"2055","Feb  9, 2025 01:29:22.854904941 IST","172.20.0.6","91.189.91.83","38854","80","TCP","94"
"2056","Feb  9, 2025 01:29:22.854942368 IST","185.125.190.83","172.20.0.3","80","37384","TCP","4350"
"2057","Feb  9, 2025 01:29:22.855032399 IST","185.125.190.82","172.20.0.7","80","33680","TCP","4350"
"2058","Feb  9, 2025 01:29:22.855095899 IST","185.125.190.82","172.20.0.5","80","42272","TCP","4350"
